People,Food,Event,Activity,Travel,Transportation,Utility,Cash,Illegal/Sarcasm
,crab,,paintball,,,laptop,,circles 
,mike,,futbol,,,,,milf
,tab,,ufc,,,,,
,whiskey,,lolla,,,,,
,smoothie,,disney,,,,,
,foooooood,,championship,,,,,
,mcd,,basket,,,,,
,sup,,film,,,,,
,beef,,ktv,,,,,
,soap,,printing,,,,,
,bake,,walk,,,,,
,butter,,polish,,,,,
,fewd,,fishing,,,,,
,banana,,earring,,,,,
,waffle,,bollywood,,,,,
,eats,,settle,,,,,
,walmart,,zara,,,,,
,trader,,consultation,,,,,
,potato,,cancelled,,,,,
,oyster,,being,,,,,
,foood,,jerseyyy,,,,,
,curry,,cleanup,,,,,
,munchies,,drinko,,,,,
,bacon,,study,,,,,
,joe,,parking,,,,,
,pregame,,rave,,,,,
,chef,,nfl,,,,,
,hangover,,rodeo,,,,,
,indian,,leetcode,,,,,
,dim,,datasets,,,,,
,korean,,share,,,,,
,kbbq,,hike,,,,,
,dinna,,quarantine,,,,,
,mexican,,lululemon,,,,,
,margs,,xiaomi,,,,,
,noms,,zumba,,,,,
,keg,,salsa,,,,,
,jimmy,,course,,,,,
,john,,buy,,,,,
,shot,,sephora,,,,,
,jell,,mahjong,,,,,
,in n out,,youtube,,,,,
,turkey,,trial,,,,,
,greek,,sailing,,,,,
,shake,,trim,,,,,
,footlong,,nails,,,,,
,groceries,,moving ,,,,,
,dunkin,,vinyl,,,,,
,iced,,skate,,,,,
,gaterode ,,machine,,,,,
,foot long ,,library,,,,,
,subway,,zoo ,,,,,
,nom,,badminton ,,,,,
,apple,,garage sale,,,,,
,dip,,batman,,,,,
,publix,,pedicure,,,,,
,za,,manicure,,,,,
,gummy,,getaway,,,,,
,bell,,amc,,,,,
,mickey,,receive,,,,,
,cold,,apply,,,,,
,cup,,track,,,,,
,cvs,,bookkeeping,,,,,
,duck,,surf,,,,,
,fresh,,marvel,,,,,
,fud,,avengers,,,,,
,garden,,,,,,,
,glass,,,,,,,
,kitchen,,,,,,,
,liquid,,,,,,,
,sangria,,,,,,,
,shack,,,,,,,
,avocado,,,,,,,
,stick,,,,,,,
,sum ,,,,,,,
,target,,,,,,,
,gelato,,,,,,,
,toast,,,,,,,
,fruit,,,,,,,
,starbs,,,,,,,
,fooooooood,,,,,,,
,hungry,,,,,,,
,popcorn,,,,,,,
,shrimp,,,,,,,
,cook,,,,,,,
,yogurt,,,,,,,
,lobster,,,,,,,
,quesadilla,,,,,,,
,cider,,,,,,,
,pretzel,,,,,,,
,patty,,,,,,,
,beerz,,,,,,,
,mcdonalds,,,,,,,
,gyro,,,,,,,
,fireball,,,,,,,
,pita,,,,,,,
,meatball,,,,,,,
,muffin,,,,,,,
,salmon,,,,,,,
,cerveza,,,,,,,
,mule,,,,,,,
,corona,,,,,,,
,ginger,,,,,,,
,corn,,,,,,,
,crawfish,,,,,,,
,buffet,,,,,,,
,kunjip,,,,,,,
,maki,,,,,,,
,oysters,,,,,,,
,jollibee,,,,,,,
,hotpot,,,,,,,
,dimsum,,,,,,,
,milktea,,,,,,,
,seafood,,,,,,,
,KFC,,,,,,,
,hmart,,,,,,,
,spinach,,,,,,,
,hall,,,,,,,
,spaghetti,,,,,,,
,pumpkin,,,,,,,
,claw,,,,,,,
,charcuterie,,,,,,,
,dosa,,,,,,,
,vegan,,,,,,,
,prosecco,,,,,,,
,veg,,,,,,,
,takeout,,,,,,,
,beer,,,,,,,
,Tan-cha,,,,,,,
,pho,,,,,,,
,scallion,,,,,,,
,pearl,,,,,,,
,spam,,,,,,,
,uni,,,,,,,
,hotdog,,,,,,,
,natchos,,,,,,,
,booz,,,,,,,
,sashimi,,,,,,,
,fries,,,,,,,
,taco bell,,,,,,,
,mocha,,,,,,,
,honey,,,,,,,
,matcha,,,,,,,
,arepa,,,,,,,
,empanadas,,,,,,,
,schnitzel,,,,,,,
,wok,,,,,,,
,esspresso,,,,,,,
,kroger,,,,,,,
,kimchi,,,,,,,
,tomato,,,,,,,
,coconut,,,,,,,
,strawberry,,,,,,,
,flour,,,,,,,
,momo,,,,,,,
,cheeses,,,,,,,
,chezcake,,,,,,,
,maize,,,,,,,
,rum,,,,,,,
,nob hill,,,,,,,
,doordash,,,,,,,
,juul,,,,,,,
,shake shack,,,,,,,
,lamb,,,,,,,
,ladym,,,,,,,
,hamburger,,,,,,,
,rolls,,,,,,,
,vanila,,,,,,,
,jin mi,,,,,,,
,korean bbq,,,,,,,
,shots,,,,,,,
,orange juice,,,,,,,
,crepe,,,,,,,
,wholefoods ,,,,,,,
,gin,,,,,,,
,modelo,,,,,,,
,hotbird,,,,,,,
,eclair,,,,,,,
,chilaquiles,,,,,,,
,lemonade,,,,,,,
,alcoholism,,,,,,,
,chocky,,,,,,,
,sake,,,,,,,
,yiFang,,,,,,,
,UEats,,,,,,,
,BaoZi,,,,,,,
,flake,,,,,,,
,tasty,,,,,,,
,meds,,,,,,,
,quesadilla,,,,,,,
